file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI8101RYNO	processed	IGVFDS5460CIPC	C37	5	C37:5	methylation counts	tsv	147151773	7fbcbc9801bf3d190d8a411005cc7f35	https://api.data.igvf.org/tabular-files/IGVFFI8101RYNO/@@download/IGVFFI8101RYNO.tsv.gz	s3://igvf-public/2026/01/28/c60a92ef-b23e-43c8-8ca4-f5070ca88028/IGVFFI8101RYNO.tsv.gz
IGVFFI7006JJXP	processed	IGVFDS5460CIPC	C37	5	C37:5	per-cell quality report	tsv	785001	1f7cadf5c8ec115ca674998059c82e5a	https://api.data.igvf.org/tabular-files/IGVFFI7006JJXP/@@download/IGVFFI7006JJXP.tsv.gz	s3://igvf-public/2026/07/31/576f5f94-30a7-4b30-bc18-9d25708174ce/IGVFFI7006JJXP.tsv.gz
IGVFFI5189NNVE	processed	IGVFDS8582PUWV	C37	7	C37:7	alignments	bam	48566420544	1934f4a98f59311d7f839a9b8de15b42	https://api.data.igvf.org/alignment-files/IGVFFI5189NNVE/@@download/IGVFFI5189NNVE.bam	s3://igvf-public/2026/01/28/c56c3094-975b-4708-81cd-1bf83e26154c/IGVFFI5189NNVE.bam
IGVFFI6140MTCV	processed	IGVFDS8582PUWV	C37	7	C37:7	alignments	bam	4288287186	79bcfc12ec0373b596062dd4bbc95eee	https://api.data.igvf.org/alignment-files/IGVFFI6140MTCV/@@download/IGVFFI6140MTCV.bam	s3://igvf-public/2026/02/03/743965bc-c3d3-45d2-aa59-f1ab9b782d5f/IGVFFI6140MTCV.bam
IGVFFI9183SCMC	processed	IGVFDS8582PUWV	C37	7	C37:7	cell by bin methylation count matrix	h5ad	70205360	ae4a2871f73e510b1ca3277a17dd2b4d	https://api.data.igvf.org/matrix-files/IGVFFI9183SCMC/@@download/IGVFFI9183SCMC.h5ad	s3://igvf-public/2026/01/28/6642509e-9fc2-4e30-a0ca-782d23823cf7/IGVFFI9183SCMC.h5ad
IGVFFI7723GAET	processed	IGVFDS8582PUWV	C37	7	C37:7	cell by gene matrix	h5ad	41056116	9c9333637c44ae26eb27bf7866a2b95c	https://api.data.igvf.org/matrix-files/IGVFFI7723GAET/@@download/IGVFFI7723GAET.h5ad	s3://igvf-public/2026/01/28/af84e356-45ad-467a-949e-66b0d7e50a21/IGVFFI7723GAET.h5ad
IGVFFI4319ZJQM	processed	IGVFDS8582PUWV	C37	7	C37:7	cell by position methylation count matrix	h5ad	11603531240	b4697696e1fd9ed55b9c97eae1e19ee8	https://api.data.igvf.org/matrix-files/IGVFFI4319ZJQM/@@download/IGVFFI4319ZJQM.h5ad	s3://igvf-public/2026/02/17/639b8b9f-88cf-4f06-89cb-4ec2b10e02b8/IGVFFI4319ZJQM.h5ad
IGVFFI4077RPCQ	processed	IGVFDS8582PUWV	C37	7	C37:7	methylation counts	tsv	152750219	b19697d77dc85b11b1a20d4ef7c7b3c6	https://api.data.igvf.org/tabular-files/IGVFFI4077RPCQ/@@download/IGVFFI4077RPCQ.tsv.gz	s3://igvf-public/2026/01/28/1c469b43-b95a-4dbc-8dc4-be110af01fd9/IGVFFI4077RPCQ.tsv.gz
IGVFFI5807GBMH	processed	IGVFDS8582PUWV	C37	7	C37:7	per-cell quality report	tsv	811097	472a41b454f14766fc85541cb63b1918	https://api.data.igvf.org/tabular-files/IGVFFI5807GBMH/@@download/IGVFFI5807GBMH.tsv.gz	s3://igvf-public/2026/07/31/625efed3-31c5-433d-be77-224cc9d5b97f/IGVFFI5807GBMH.tsv.gz
IGVFFI4443RYXL	processed	IGVFDS2598SWSV	C37	9	C37:9	alignments	bam	6897196238	15f9e048d5181810e88ed0277f51ff56	https://api.data.igvf.org/alignment-files/IGVFFI4443RYXL/@@download/IGVFFI4443RYXL.bam	s3://igvf-public/2026/02/03/8bc82503-0438-437a-a3a7-3bd429912326/IGVFFI4443RYXL.bam
IGVFFI4876FIOG	processed	IGVFDS2598SWSV	C37	9	C37:9	alignments	bam	46668744946	50492c21b7720f33c1177a7793ac2b27	https://api.data.igvf.org/alignment-files/IGVFFI4876FIOG/@@download/IGVFFI4876FIOG.bam	s3://igvf-public/2026/01/28/88087902-9207-410c-aa9b-3f653c7b958d/IGVFFI4876FIOG.bam
IGVFFI3847PZGE	processed	IGVFDS2598SWSV	C37	9	C37:9	cell by bin methylation count matrix	h5ad	69054800	2291b501a103044a1fb3e9bc3f82b9af	https://api.data.igvf.org/matrix-files/IGVFFI3847PZGE/@@download/IGVFFI3847PZGE.h5ad	s3://igvf-public/2026/01/28/585c2aa3-0b9f-4fc9-8f80-7955a95786db/IGVFFI3847PZGE.h5ad
IGVFFI3238PQYO	processed	IGVFDS2598SWSV	C37	9	C37:9	cell by gene matrix	h5ad	50897652	2bfc3c504f1d1a2f3443b2843a20f0be	https://api.data.igvf.org/matrix-files/IGVFFI3238PQYO/@@download/IGVFFI3238PQYO.h5ad	s3://igvf-public/2026/01/28/3cbe0a1b-9771-4e2d-be0a-c4d3e7404134/IGVFFI3238PQYO.h5ad
IGVFFI8180IPDG	processed	IGVFDS2598SWSV	C37	9	C37:9	cell by position methylation count matrix	h5ad	11046900744	3dfd92291f67a43fb480b22d28f17549	https://api.data.igvf.org/matrix-files/IGVFFI8180IPDG/@@download/IGVFFI8180IPDG.h5ad	s3://igvf-public/2026/02/17/3fbd65d4-2c53-46b9-831a-895f8a1957eb/IGVFFI8180IPDG.h5ad
IGVFFI8692ETBN	processed	IGVFDS2598SWSV	C37	9	C37:9	methylation counts	tsv	151749594	effe28f4b26fe097b0625d4ee83a4e3e	https://api.data.igvf.org/tabular-files/IGVFFI8692ETBN/@@download/IGVFFI8692ETBN.tsv.gz	s3://igvf-public/2026/01/28/c4ef63e7-d5f1-4b69-ae25-46d6f0b90594/IGVFFI8692ETBN.tsv.gz
IGVFFI6975DHLI	processed	IGVFDS2598SWSV	C37	9	C37:9	per-cell quality report	tsv	716547	78bffdcef6d721d680d8f21335aca92f	https://api.data.igvf.org/tabular-files/IGVFFI6975DHLI/@@download/IGVFFI6975DHLI.tsv.gz	s3://igvf-public/2026/07/31/dfdcb3d4-7aaa-42b8-a510-20206c1fb6df/IGVFFI6975DHLI.tsv.gz
IGVFFI4273KKEG	processed	IGVFDS8787ULTU	C38	0	C38:0	alignments	bam	6213275503	363deff941bd3f62f7c01133a69e1e42	https://api.data.igvf.org/alignment-files/IGVFFI4273KKEG/@@download/IGVFFI4273KKEG.bam	s3://igvf-public/2026/02/03/580af641-89fd-4db5-93b5-42f8ea3dc897/IGVFFI4273KKEG.bam
