file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI4904ATKB	processed	IGVFDS0537ZNOZ	C37	9	C37:9	per-cell quality report	tsv	312619	a7908b432dbbae79eada95b3ed30c080	https://api.data.igvf.org/tabular-files/IGVFFI4904ATKB/@@download/IGVFFI4904ATKB.tsv.gz	s3://igvf-public/2026/07/31/af7fb4a2-591d-49d5-a15f-8b7f93603ad0/IGVFFI4904ATKB.tsv.gz
IGVFFI0033ARKT	processed	IGVFDS7180OQIN	C38	0	C38:0	alignments	bam	48961307814	1dcfe718fcd53e29143081c40eb8fe3a	https://api.data.igvf.org/alignment-files/IGVFFI0033ARKT/@@download/IGVFFI0033ARKT.bam	s3://igvf-public/2026/01/28/a7cbaa55-66cf-4e68-8195-204b62a3a54b/IGVFFI0033ARKT.bam
IGVFFI4263XRLZ	processed	IGVFDS7180OQIN	C38	0	C38:0	cell by bin contact matrix	mcool	111234645	efd50034de0477aec02cbf85d943bbfc	https://api.data.igvf.org/matrix-files/IGVFFI4263XRLZ/@@download/IGVFFI4263XRLZ.mcool	s3://igvf-public/2026/01/28/24c74f42-db26-4ee3-b8ef-344ee8bad3f2/IGVFFI4263XRLZ.mcool
IGVFFI6011GVEH	processed	IGVFDS7180OQIN	C38	0	C38:0	cell by bin methylation count matrix	h5ad	97958722	c77cca54f62f89aa485f9b941bc8e548	https://api.data.igvf.org/matrix-files/IGVFFI6011GVEH/@@download/IGVFFI6011GVEH.h5ad	s3://igvf-public/2026/01/28/f76e48ec-db8d-43df-8169-84b950fea4d8/IGVFFI6011GVEH.h5ad
IGVFFI2109EQDM	processed	IGVFDS7180OQIN	C38	0	C38:0	cell by position methylation count matrix	h5ad	9494178536	859546fcb218a94d2555ccc786c4685a	https://api.data.igvf.org/matrix-files/IGVFFI2109EQDM/@@download/IGVFFI2109EQDM.h5ad	s3://igvf-public/2026/02/17/cc9b4ae8-1e8a-46ac-865f-91fd0a540d82/IGVFFI2109EQDM.h5ad
IGVFFI7396ZMLF	processed	IGVFDS7180OQIN	C38	0	C38:0	chromatin contact quantifications	bedpe	3745601450	459cc94ca84810fcf1526f4de8666e0c	https://api.data.igvf.org/tabular-files/IGVFFI7396ZMLF/@@download/IGVFFI7396ZMLF.bedpe.gz	s3://igvf-public/2026/01/28/82bd94eb-718a-460e-a459-94897cd43091/IGVFFI7396ZMLF.tsv.gz
IGVFFI4642AAMM	processed	IGVFDS7180OQIN	C38	0	C38:0	index	tbi	2150625	f5caf781724a42c7c1174eec5db2c271	https://api.data.igvf.org/index-files/IGVFFI4642AAMM/@@download/IGVFFI4642AAMM.tbi	s3://igvf-public/2026/03/26/209f1446-04c3-4125-88a3-4636cfdce7b6/IGVFFI4642AAMM.tbi
IGVFFI1404ITGC	processed	IGVFDS7180OQIN	C38	0	C38:0	methylation counts	tsv	152582330	2d4f591f80f545c137d3e00f8da2961a	https://api.data.igvf.org/tabular-files/IGVFFI1404ITGC/@@download/IGVFFI1404ITGC.tsv.gz	s3://igvf-public/2026/01/28/78b14d35-dab9-4815-99ac-6e0bab15c816/IGVFFI1404ITGC.tsv.gz
IGVFFI2500BNBA	processed	IGVFDS7180OQIN	C38	0	C38:0	per-cell quality report	tsv	313787	b8fbcef11dae0af8fcebfc9576bd5417	https://api.data.igvf.org/tabular-files/IGVFFI2500BNBA/@@download/IGVFFI2500BNBA.tsv.gz	s3://igvf-public/2026/07/31/87359b3d-f7d3-4b2d-89dc-f78f85d86fa9/IGVFFI2500BNBA.tsv.gz
IGVFFI6184XWHW	processed	IGVFDS3033QDGY	C38	12	C38:12	alignments	bam	59424594087	7df438f36238e77ae7af8fb5f02b6fce	https://api.data.igvf.org/alignment-files/IGVFFI6184XWHW/@@download/IGVFFI6184XWHW.bam	s3://igvf-public/2026/01/28/2e3df474-4fff-41af-a655-17d8e1046128/IGVFFI6184XWHW.bam
