file_accession	tier	file_set	donors	days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI7940JPKI	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1725614475	c48c045caa25e669753ef8da2956d46e	https://api.data.igvf.org/sequence-files/IGVFFI7940JPKI/@@download/IGVFFI7940JPKI.fastq.gz	s3://igvf-public/2026/08/06/b007c271-866c-4527-8dc2-4189b2c72f0a/IGVFFI7940JPKI.fastq.gz
IGVFFI8456UYCT	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1793318558	5ea64967676d3a793a349bd01b55cacf	https://api.data.igvf.org/sequence-files/IGVFFI8456UYCT/@@download/IGVFFI8456UYCT.fastq.gz	s3://igvf-public/2026/08/06/9a75f177-1a00-4ff1-85d6-d4307a1e5421/IGVFFI8456UYCT.fastq.gz
IGVFFI8820SLQZ	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1586408406	ebaec709e6ad6719c0cd2e46663aa5b4	https://api.data.igvf.org/sequence-files/IGVFFI8820SLQZ/@@download/IGVFFI8820SLQZ.fastq.gz	s3://igvf-public/2026/08/05/cdfcd5f9-e6b1-42c9-98e2-74c43a626605/IGVFFI8820SLQZ.fastq.gz
IGVFFI8927TPEQ	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1820320192	8b574847270a15d617be157ccd363d73	https://api.data.igvf.org/sequence-files/IGVFFI8927TPEQ/@@download/IGVFFI8927TPEQ.fastq.gz	s3://igvf-public/2026/08/06/52c22060-d15a-4058-bee5-1f242996de9c/IGVFFI8927TPEQ.fastq.gz
IGVFFI9027IIOZ	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1582958856	e3c87f8add26442b116ec376cf7b0b51	https://api.data.igvf.org/sequence-files/IGVFFI9027IIOZ/@@download/IGVFFI9027IIOZ.fastq.gz	s3://igvf-public/2026/08/05/6b1e5a8f-71cc-4bf4-8c4b-04513d14c4d7/IGVFFI9027IIOZ.fastq.gz
IGVFFI9045MLLO	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1713608045	ec720610b6f9f4cf9ac7dbb5c2b86e80	https://api.data.igvf.org/sequence-files/IGVFFI9045MLLO/@@download/IGVFFI9045MLLO.fastq.gz	s3://igvf-public/2026/08/06/7350b57a-f840-4a83-bc6b-4aa5445f82c4/IGVFFI9045MLLO.fastq.gz
IGVFFI9062XRHF	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1800640112	3487c70dcb934cfe1c37d8e2adee095d	https://api.data.igvf.org/sequence-files/IGVFFI9062XRHF/@@download/IGVFFI9062XRHF.fastq.gz	s3://igvf-public/2026/08/06/7d6c154e-78a4-477f-813b-6071ff071beb/IGVFFI9062XRHF.fastq.gz
IGVFFI9114YZHY	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1561599843	6a75f105e2c4e65d908f76de5a4767f1	https://api.data.igvf.org/sequence-files/IGVFFI9114YZHY/@@download/IGVFFI9114YZHY.fastq.gz	s3://igvf-public/2026/08/05/6dea765f-8f42-4e8f-91dd-a37f117eb170/IGVFFI9114YZHY.fastq.gz
IGVFFI9357HGIT	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1709810741	fdde6149ac4690326e6a1f893bb863d9	https://api.data.igvf.org/sequence-files/IGVFFI9357HGIT/@@download/IGVFFI9357HGIT.fastq.gz	s3://igvf-public/2026/08/06/23a4a37b-514a-45d9-bc70-a82c0243acd0/IGVFFI9357HGIT.fastq.gz
IGVFFI9700MQHB	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1627737654	bc26fab93294183a7e6415256e941e7c	https://api.data.igvf.org/sequence-files/IGVFFI9700MQHB/@@download/IGVFFI9700MQHB.fastq.gz	s3://igvf-public/2026/08/05/72acd3d2-35d2-4aa9-8e9d-a9eecc4426b3/IGVFFI9700MQHB.fastq.gz
